sample, unfiltered
CT30Org1, /nfs/proj/tropho_org_atlas/database/Karvas/Karvas_CT30_hTSC_Org1/Karvas_CT30_hTSC_organoid_merged.h5ad
CT30Org2, /nfs/proj/tropho_org_atlas/database/Karvas/Karvas_CT30_hTSC_Org2/Karvas_CT30_hTSC_organoid_2_merged.h5ad
H9Org1, /nfs/proj/tropho_org_atlas/database/Karvas/Karvas_H9_hTSC_Org1/Karvas_H9_hTSC_organoid_merged.h5ad
H9Org2,/nfs/proj/tropho_org_atlas/database/Karvas/Karvas_H9_hTSC_Org2/Karvas_H9_hTSC_organoid_2_merged.h5ad
